-5.5000	8.0000e-23	1.6932e-07
-5.5000	8.0000e-23	3.1291e-07
-5.5000	8.0000e-23	1.1575e-07
-5.5000	8.0000e-23	4.2473e-07
-5.5000	8.0000e-23	3.0204e-07
-5.5000	8.0000e-23	2.6754e-07
-5.5000	8.0000e-23	3.9780e-07
-5.5000	8.0000e-23	2.0898e-07
-5.5000	8.0000e-23	1.7258e-07
-5.5000	8.0000e-23	4.6896e-07
-5.5000	8.0000e-23	1.7409e-07
-5.5000	8.0000e-23	1.7373e-07
-5.5000	8.0000e-23	2.0404e-07
-1.5000	1.5000e-28	5.4581e-08
-5.5000	8.0000e-23	4.3593e-07
-5.5000	8.0000e-23	3.8333e-07
-5.5000	8.0000e-23	2.1786e-07
-5.5000	8.0000e-23	4.8302e-07
-5.5000	8.0000e-23	2.8648e-07
-5.5000	8.0000e-23	4.7669e-07
-5.5000	8.0000e-23	4.8063e-07
-5.5000	8.0000e-23	4.0502e-07
-5.5000	8.0000e-23	3.1421e-07
-5.5000	8.0000e-23	2.7715e-07
-5.5000	8.0000e-23	2.1347e-07
-5.5000	8.0000e-23	2.6169e-07
